[22:47:28][HookEngine.c:45 in HookEngine_init] Loading HookEngine in C:\Users\Spl3en\Desktop\vagrantbox\treeofsavior\clienthooks\HooksOfSavior\HooksOfSavior\/NtHookEngine.dll ...
[22:47:28][HookEngine.c:29 in HookEngine_new] HookEngine initialized correctly.
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000002 | ItemLv = 000 | ClassName = <NoHat> | itemType = <Equip> | GroupName = <Armor> | classType = <None> | EqpType = <HAT> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001550$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000004 | ItemLv = 000 | ClassName = <NoOuter> | itemType = <Equip> | GroupName = <Armor> | classType = <Outer> | EqpType = <BODY> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001763$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000005 | ItemLv = 000 | ClassName = <NoPants> | itemType = <Equip> | GroupName = <Armor> | classType = <Pants> | EqpType = <PANTS> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001764$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000006 | ItemLv = 000 | ClassName = <NoGloves> | itemType = <Equip> | GroupName = <Armor> | classType = <Gloves> | EqpType = <GLOVES> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001765$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000007 | ItemLv = 000 | ClassName = <NoBoots> | itemType = <Equip> | GroupName = <Armor> | classType = <Boots> | EqpType = <BOOTS> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001766$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000008 | ItemLv = 000 | ClassName = <NoShirt> | itemType = <Equip> | GroupName = <Armor> | classType = <Shirt> | EqpType = <SHIRT> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001766$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000009 | ItemLv = 000 | ClassName = <NoRing> | itemType = <Equip> | GroupName = <Armor> | classType = <None> | EqpType = <RING> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001379$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0000000A | ItemLv = 000 | ClassName = <NoNeck> | itemType = <Equip> | GroupName = <Armor> | classType = <None> | EqpType = <NECK> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001288$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002710 | ItemLv = 000 | ClassName = <NoHelmet> | itemType = <Equip> | GroupName = <Helmet> | classType = <None> | EqpType = <HELMET> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000001$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002711 | ItemLv = 000 | ClassName = <murmillo_helmet> | itemType = <Equip> | GroupName = <Helmet> | classType = <Helmet> | EqpType = <HELMET> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000002$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002AF8 | ItemLv = 000 | ClassName = <NoArmband> | itemType = <Equip> | GroupName = <Armband> | classType = <None> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000003$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B5D | ItemLv = 000 | ClassName = <ABAND01_101> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000004$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B5E | ItemLv = 000 | ClassName = <ABAND01_102> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000006$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B5F | ItemLv = 000 | ClassName = <ABAND01_103> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000007$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B60 | ItemLv = 000 | ClassName = <ABAND01_104> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000008$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B61 | ItemLv = 000 | ClassName = <ABAND01_105> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000009$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00002B62 | ItemLv = 000 | ClassName = <ABAND01_106> | itemType = <Equip> | GroupName = <Armband> | classType = <Armband> | EqpType = <ARMBAND> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004260$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AED | ItemLv = 65704864 | ClassName = <SWD01_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004261$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AEE | ItemLv = 65704864 | ClassName = <SWD01_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000014$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AEF | ItemLv = 65704864 | ClassName = <SWD01_103> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004262$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF0 | ItemLv = 65704864 | ClassName = <SWD01_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004263$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF1 | ItemLv = 65704864 | ClassName = <SWD01_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000020$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF2 | ItemLv = 65704864 | ClassName = <SWD01_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000022$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF3 | ItemLv = 65704864 | ClassName = <SWD01_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000024$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF4 | ItemLv = 65704864 | ClassName = <SWD01_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000026$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF5 | ItemLv = 65704864 | ClassName = <SWD01_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000028$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF6 | ItemLv = 65704864 | ClassName = <SWD01_110> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000030$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF7 | ItemLv = 65704864 | ClassName = <SWD01_111> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004264$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF8 | ItemLv = 65704864 | ClassName = <SWD01_112> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004265$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AF9 | ItemLv = 65704864 | ClassName = <SWD01_113> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000034$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFA | ItemLv = 65704864 | ClassName = <SWD01_114> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000036$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFB | ItemLv = 65704864 | ClassName = <SWD01_115> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004266$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFC | ItemLv = 65704864 | ClassName = <SWD01_116> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000039$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFD | ItemLv = 65704864 | ClassName = <SWD01_117> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004267$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFE | ItemLv = 65704864 | ClassName = <SWD01_118> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000042$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018AFF | ItemLv = 65704864 | ClassName = <SWD01_119> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004268$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B00 | ItemLv = 65704864 | ClassName = <SWD01_120> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000044$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B01 | ItemLv = 65704864 | ClassName = <SWD01_121> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004269$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B02 | ItemLv = 65704864 | ClassName = <SWD01_122> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004270$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B03 | ItemLv = 65704864 | ClassName = <SWD01_123> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004271$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B04 | ItemLv = 65704864 | ClassName = <SWD01_124> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000048$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B05 | ItemLv = 65704864 | ClassName = <SWD01_125> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000049$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B06 | ItemLv = 65704864 | ClassName = <SWD01_126> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000050$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B07 | ItemLv = 65704864 | ClassName = <SWD01_127> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000051$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B08 | ItemLv = 65704864 | ClassName = <SWD01_128> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000052$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B09 | ItemLv = 65704864 | ClassName = <SWD01_129> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000053$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0A | ItemLv = 65704864 | ClassName = <SWD01_130> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000054$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0B | ItemLv = 65704864 | ClassName = <SWD01_131> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000056$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0C | ItemLv = 65704864 | ClassName = <SWD01_132> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000057$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0D | ItemLv = 65704864 | ClassName = <SWD01_133> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000058$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0E | ItemLv = 65704864 | ClassName = <SWD01_134> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000059$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B0F | ItemLv = 65704864 | ClassName = <SWD01_135> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000060$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B10 | ItemLv = 65704864 | ClassName = <SWD01_136> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000061$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018B11 | ItemLv = 65704864 | ClassName = <SWD01_137> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004795$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018E2C | ItemLv = 65704864 | ClassName = <SWD01_932> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000062$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018ED5 | ItemLv = 65704864 | ClassName = <SWD02_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000063$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018ED6 | ItemLv = 65704864 | ClassName = <SWD02_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000065$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018ED8 | ItemLv = 65704864 | ClassName = <SWD02_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000067$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018ED9 | ItemLv = 65704864 | ClassName = <SWD02_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000069$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDA | ItemLv = 65704864 | ClassName = <SWD02_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000071$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDB | ItemLv = 65704864 | ClassName = <SWD02_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000073$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDC | ItemLv = 65704864 | ClassName = <SWD02_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000075$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDD | ItemLv = 65704864 | ClassName = <SWD02_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000077$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDE | ItemLv = 65704864 | ClassName = <SWD02_110> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000079$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EDF | ItemLv = 65704864 | ClassName = <SWD02_111> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000081$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE0 | ItemLv = 65704864 | ClassName = <SWD02_112> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000083$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE1 | ItemLv = 65704864 | ClassName = <SWD02_113> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000085$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE2 | ItemLv = 65704864 | ClassName = <SWD02_114> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000087$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE3 | ItemLv = 65704864 | ClassName = <SWD02_115> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000089$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE4 | ItemLv = 65704864 | ClassName = <SWD02_116> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000091$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE5 | ItemLv = 65704864 | ClassName = <SWD02_117> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000094$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE6 | ItemLv = 65704864 | ClassName = <SWD02_118> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000096$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE7 | ItemLv = 65704864 | ClassName = <SWD02_119> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000097$*^>
